oewn_id	dulplus_class	tier	provenance	primary_lemma	all_lemmas	gloss	hypernyms
oewn-00001740-v	dul:State	propagated_from_hypernym	from oewn-02372362-v[tier1_derivation]	breathe	breathe|take a breath|respire|suspire	draw air into, and expel out of, the lungs	oewn-02372362-v
oewn-00002325-v	dul:State	propagated_from_hypernym	from oewn-02112831-v[propagated_from_hypernym]	respire	respire	undergo the biomedical and metabolic processes of respiration by taking up oxygen and producing carbon monoxide	oewn-02112831-v
oewn-00002573-v	dul:State	propagated_from_hypernym	from oewn-00001740-v[propagated_from_hypernym]	respire	respire	breathe easily again, as after exertion or anxiety	oewn-00001740-v
oewn-00002724-v	dul:State	propagated_from_hypernym	from oewn-00001740-v[propagated_from_hypernym]	choke	choke	breathe with great difficulty, as when experiencing a strong emotion	oewn-00001740-v
oewn-00002942-v	dul:State	propagated_from_hypernym	from oewn-00001740-v[propagated_from_hypernym]	hyperventilate	hyperventilate	breathe excessively hard and fast	oewn-00001740-v
oewn-00003133-v	dul:State	propagated_from_hypernym	from oewn-00078513-v[propagated_from_hypernym]	hyperventilate	hyperventilate	produce hyperventilation in	oewn-00078513-v
oewn-00003316-v	dul:Action	tier1_derivation	deriv→oewn-00838449-n(marker='the act of')	aspirate	aspirate	inhale (air, water, etc.)	oewn-00005041-v
oewn-00003443-v	dul:Action	propagated_from_hypernym	from oewn-00105087-v[tier1_derivation]	burp	burp|bubble|belch|eruct	expel gas from the stomach	oewn-00105087-v
oewn-00003662-v	dul:Action	propagated_from_hypernym	from oewn-00105087-v[tier1_derivation]	force out	force out	emit or cause to move with force of effort	oewn-00105087-v
oewn-00003826-v	dul:State	propagated_from_hypernym	from oewn-00001740-v[propagated_from_hypernym]	hiccup	hiccup|hiccough	breathe spasmodically, and make a sound	oewn-00001740-v
oewn-00004032-v	dul:State	propagated_from_hypernym	from oewn-00001740-v[propagated_from_hypernym]	sigh	sigh|suspire	heave or utter a sigh; breathe deeply and heavily	oewn-00001740-v
oewn-00004227-v	dul:Action	tier1_derivation	deriv→oewn-00836928-n(marker='the act of')|deriv→oewn-00836928-n(marker='the act of')	exhale	exhale|expire|breathe out	expel air	oewn-00001740-v
oewn-00004492-v	dul:Action	propagated_from_hypernym	from oewn-00233707-v[tier1_derivation]	hold	hold	keep from exhaling or expelling	oewn-00233707-v
oewn-00004605-v	dul:Action	tier1_derivation	deriv→oewn-01255647-n(marker='the act of')	exhale	exhale|give forth|emanate	give out (breath or an odor)	oewn-00105087-v
oewn-00004819-v	dul:State	propagated_from_hypernym	from oewn-00010234-v[propagated_from_hypernym]	sneeze	sneeze	exhale spasmodically, as when an irritant entered one's nose	oewn-00010234-v
oewn-00005041-v	dul:Action	tier1_derivation	deriv→oewn-00838449-n(marker='the act of')|deriv→oewn-00838449-n(marker='the act of')	inhale	inhale|inspire|breathe in	draw in (air)	oewn-00001740-v
oewn-00005526-v	dul:Action	propagated_from_hypernym	from oewn-00007012-v[propagated_from_hypernym]	pant	pant|puff|gasp|heave	breathe noisily, as when one is exhausted	oewn-00007012-v
oewn-00005815-v	dul:Action	propagated_from_hypernym	from oewn-00006238-v[tier1_derivation]	cough	cough	exhale abruptly, as when one has a chest cold or congestion	oewn-00006238-v
oewn-00006100-v	dul:Action	propagated_from_hypernym	from oewn-00005815-v[propagated_from_hypernym]	hack	hack|whoop	cough spasmodically	oewn-00005815-v
oewn-00006238-v	dul:Action	tier1_derivation	deriv→oewn-00119372-n(marker='the act of')|deriv→oewn-13499137-n(marker='the process of')	expectorate	expectorate|cough up|cough out|spit up|spit out	discharge (phlegm or sputum) from the lungs and out of the mouth	oewn-00104622-v
oewn-00006523-v	dul:Action	propagated_from_hypernym	from oewn-00004227-v[tier1_derivation]	snort	snort	make a snorting sound by exhaling hard	oewn-00004227-v
oewn-00006697-v	dul:State	propagated_from_hypernym	from oewn-00001740-v[propagated_from_hypernym]	wheeze	wheeze	breathe with difficulty	oewn-00001740-v
oewn-00006802-v	dul:Action	propagated_from_hypernym	from oewn-00007012-v[propagated_from_hypernym]	puff	puff|huff|chuff	blow hard and loudly	oewn-00007012-v
oewn-00007012-v	dul:Action	propagated_from_hypernym	from oewn-00004227-v[tier1_derivation]	blow	blow	exhale hard	oewn-00004227-v
oewn-00007193-v	dul:Action	propagated_from_hypernym	from oewn-00007012-v[propagated_from_hypernym]	insufflate	insufflate	blow or breathe hard on or into	oewn-00007012-v
oewn-00007328-v	dul:State	propagated_from_hypernym	from oewn-00001740-v[propagated_from_hypernym]	yawn	yawn	utter a yawn, as from lack of oxygen or when one is tired	oewn-00001740-v
oewn-00007549-v	dul:Action	tier1_derivation	deriv→oewn-00837810-n(marker='the act of')	sniff	sniff|sniffle	inhale audibly through the nose	oewn-00005041-v
oewn-00007739-v	dul:State	propagated_from_hypernym	from oewn-00010234-v[propagated_from_hypernym]	blink	blink|wink|nictitate|nictate	briefly shut the eyes	oewn-00010234-v
oewn-00008055-v	dul:State	propagated_from_hypernym	from oewn-00007739-v[propagated_from_hypernym]	palpebrate	palpebrate	wink or blink, especially repeatedly	oewn-00007739-v
oewn-00008195-v	dul:State	propagated_from_hypernym	from oewn-00007739-v[propagated_from_hypernym]	bat	bat|flutter	wink briefly	oewn-00007739-v
oewn-00008299-v	dul:Action	propagated_from_hypernym	from oewn-00994073-v[propagated_from_hypernym]	wink	wink	signal by winking	oewn-00994073-v
oewn-00008435-v	dul:Action	propagated_from_hypernym	from oewn-00233707-v[tier1_derivation]	wink	wink|blink|blink away	keep back by blinking	oewn-00233707-v
oewn-00008595-v	dul:Action	tier1_derivation	deriv→oewn-00880006-n(marker='the act of')	squint	squint|squinch	cross one's eyes as if in strabismus	oewn-00034281-v
oewn-00008792-v	dul:Action	propagated_from_hypernym	from oewn-02169748-v[propagated_from_hypernym]	squint	squint	partly close one's eyes, as when hit by direct blinding light	oewn-00033592-v,oewn-02169748-v
oewn-00008970-v	dul:Action	propagated_from_hypernym	from oewn-00034281-v[propagated_from_hypernym]	wince	wince	make a face indicating disgust or dislike	oewn-00034281-v
oewn-00009140-v	dul:Action	propagated_from_hypernym	from oewn-01516062-v[propagated_from_hypernym]	shed	shed|molt|exuviate|moult|slough	cast off hair, skin, horn, or feathers	oewn-01516062-v
oewn-00009485-v	dul:Action	propagated_from_hypernym	from oewn-00009140-v[propagated_from_hypernym]	desquamate	desquamate|peel off	peel off in scales	oewn-00009140-v
oewn-00009624-v	dul:State	propagated_from_hypernym	from oewn-00010047-v[propagated_from_hypernym]	twitch	twitch|jerk	make an uncontrolled, short, jerky motion	oewn-00010047-v
oewn-00009877-v	dul:State	propagated_from_hypernym	from oewn-00009624-v[propagated_from_hypernym]	fibrillate	fibrillate	make fine, irregular, rapid twitching movements	oewn-00009624-v
oewn-00010047-v	dul:State	propagated_from_hypernym	from oewn-01835473-v[propagated_from_hypernym]	move involuntarily	move involuntarily|move reflexively	move in an uncontrolled manner	oewn-01835473-v
oewn-00010234-v	dul:State	propagated_from_hypernym	from oewn-00010428-v[propagated_from_hypernym]	act involuntarily	act involuntarily|act reflexively	act in an uncontrolled manner	oewn-00010428-v
oewn-00010428-v	dul:State	propagated_from_hypernym	from oewn-02372362-v[tier1_derivation]	act	act|behave|do|acquit|bear|deport|conduct|comport|carry	behave in a certain manner; show a certain behavior; conduct or comport oneself	oewn-02372362-v
oewn-00011354-v	dul:State	propagated_from_hypernym	from oewn-00010428-v[propagated_from_hypernym]	fall over backwards	fall over backwards|bend over backwards	try very hard to please someone	oewn-00010428-v
oewn-00011544-v	dul:State	propagated_from_hypernym	from oewn-00010428-v[propagated_from_hypernym]	presume	presume	take liberties or act with too much confidence	oewn-00010428-v
oewn-00011691-v	dul:State	propagated_from_hypernym	from oewn-00010428-v[propagated_from_hypernym]	vulgarize	vulgarize|vulgarise	act in a vulgar manner	oewn-00010428-v
oewn-00011845-v	dul:State	propagated_from_hypernym	from oewn-00010428-v[propagated_from_hypernym]	optimize	optimize|optimise	act as an optimist and take a sunny view of the world	oewn-00010428-v
oewn-00011975-v	dul:State	propagated_from_hypernym	from oewn-00010428-v[propagated_from_hypernym]	quack	quack	act as a medical quack or a charlatan	oewn-00010428-v
oewn-00012130-v	dul:State	propagated_from_hypernym	from oewn-00010428-v[propagated_from_hypernym]	menace	menace	act in a threatening manner	oewn-00010428-v
oewn-00012260-v	dul:State	propagated_from_hypernym	from oewn-00010428-v[propagated_from_hypernym]	make	make	act in a certain way so as to acquire	oewn-00010428-v
oewn-00012427-v	dul:State	propagated_from_hypernym	from oewn-00010428-v[propagated_from_hypernym]	swagger	swagger|bluster|swash	act in an arrogant, overly self-assured, or conceited manner	oewn-00010428-v
oewn-00012606-v	dul:State	propagated_from_hypernym	from oewn-00010428-v[propagated_from_hypernym]	freeze	freeze	suddenly behave coldly and formally	oewn-00010428-v
oewn-00012746-v	dul:State	propagated_from_hypernym	from oewn-00010428-v[propagated_from_hypernym]	wanton	wanton	behave extremely cruelly and brutally	oewn-00010428-v
oewn-00012847-v	dul:State	propagated_from_hypernym	from oewn-00010428-v[propagated_from_hypernym]	romanticize	romanticize	act in a romantic way	oewn-00010428-v
oewn-00012937-v	dul:Action	tier1_derivation	deriv→oewn-01221796-n(marker='the act of')|deriv→oewn-01221796-n(marker='the act of')	sentimentalise	sentimentalise|sentimentalize|sentimentize|sentimentise	act in a sentimental way or indulge in sentimental thoughts or expression	oewn-00010428-v
oewn-00013165-v	dul:State	propagated_from_hypernym	from oewn-00010428-v[propagated_from_hypernym]	bungle	bungle	spoil by behaving clumsily or foolishly	oewn-00010428-v
oewn-00013321-v	dul:State	propagated_from_hypernym	from oewn-00010428-v[propagated_from_hypernym]	play	play|toy	engage in an activity as if it were a game rather than take it seriously	oewn-00010428-v
oewn-00013608-v	dul:State	propagated_from_hypernym	from oewn-00010428-v[propagated_from_hypernym]	act	act|play|act as	pretend to have certain qualities or state of mind	oewn-00010428-v
oewn-00013851-v	dul:State	propagated_from_hypernym	from oewn-00010428-v[propagated_from_hypernym]	stooge	stooge	act as a stooge, in a compliant or subordinate manner	oewn-00010428-v
oewn-00014027-v	dul:State	propagated_from_hypernym	from oewn-00010047-v[propagated_from_hypernym]	shake	shake|didder	move with or as if with a tremor	oewn-00010047-v
oewn-00014194-v	dul:State	propagated_from_hypernym	from oewn-00010047-v[propagated_from_hypernym]	shiver	shiver|shudder	shake, as from cold	oewn-00010047-v
oewn-00014398-v	dul:Action	tier2_indirect	peer=oewn-00014542-v(dul:Action)	rest	rest	be at rest	oewn-01550172-v
oewn-00014542-v	dul:Action	tier1_derivation	deriv→oewn-00166763-n(marker='the act of')	be active	be active|move	be in a state of action	oewn-02372362-v
