oewn_id	pos	dulplus_class	method	primary_lemma	provenance	gloss
oewn-03463060-n	n	dul:DesignedArtifact	phase1_propagated	greenroom	synset-greenroom-noun-1	a backstage room in a theater where performers rest or have visitors
oewn-02776737-a	a	dul:Quality	phase4_A2_pertainym_default	monotypic	adj.pert head — relational adjective	consisting of only one type
oewn-00122465-n	n	dul:Action	phase1_propagated	forwarding	synset-forwarding-noun-1	the act of sending on to another destination
oewn-06940140-n	n	dul:InformationObject	phase5alt_propagated_from_hypernym	Uzbek	from oewn-06939235-n	the Turkic language spoken by the Uzbek
oewn-09296036-n	n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	phase1_propagated	ember	synset-ember-noun-1	a hot fragment of wood or coal that is left from a fire and is glowing or smoldering
oewn-06232886-n	n	coll:InformationCollection	phase1_propagated	Gnosticism	synset-Gnosticism-noun-1	a religious orientation advocating gnosis as the way to release a person's spiritual element; considered heresy by Christian churches
oewn-00602203-n	n	dul:Action	phase5alt_propagated_from_hypernym	secretary of energy	from oewn-00600587-n	the position of the head of the Department of Energy
oewn-04270367-n	n	dul:DesignedArtifact	phase1_propagated	soup bowl	synset-soup_bowl-noun-1	a bowl for serving soup
oewn-12317627-n	n	dul:Organism	phase1_propagated	Gentianopsid procera	synset-Gentianopsid_procera-noun-1	small blue-flowered fringed gentian of east central North America
oewn-00854162-s	s	dul:Quality	phase4_A1_satellite_inherits_head	soigne	inherited from head oewn-00852781-a	polished and well-groomed; showing sophisticated elegance
oewn-06903738-n	n	dul:DesignedArtifact	phase1_propagated	paraph	synset-paraph-noun-1	a flourish added after or under your signature (originally to protect against forgery)
oewn-09466545-n	n	dul:SpaceRegion	phase1_propagated	spume	synset-spume-noun-1	foam or froth on the sea
oewn-00502129-v	v	dul:Action	phase8_re_propagated	demulsify	inherited from revised anchor oewn-00139943-v (dul:Action)	break down into components
oewn-00767258-v	v	dul:Action	phase3_tier1_derivation	propitiate	deriv→oewn-01153902-n(marker='the act of')	make peace with
oewn-09879536-n	n	dul:Person	phase1_propagated	blind person	synset-blind_person-noun-1	a person with a severe visual impairment
oewn-03102541-n	n	dul:FunctionalSubstance	phase1_propagated	controlled substance	synset-controlled_substance-noun-1	a drug or chemical substance whose possession and use are controlled by law
oewn-01753964-v	v	dul:Action	phase3_propagated_from_hypernym	scrape	from oewn-01620211-v[propagated_from_hypernym]	make by scraping
oewn-01087779-s	s	dul:Quality	phase4_A1_satellite_inherits_head	brimful	inherited from head oewn-01086845-a	filled up
oewn-13699442-n	n	dul:Amount	phase1_propagated	Central African Republic franc	synset-Central_African_Republic_franc-noun-1	the basic unit of money in the Central African Republic
oewn-11702161-n	n	dul:BiologicalObject	phase1_propagated	free central placentation	synset-free_central_placentation-noun-1	where ovules develop on a central column in a compound ovary lacking septa or with septa at base only
oewn-00212278-v	v	dul:Process	phase8_re_propagated	freeze-dry	inherited from revised anchor oewn-00212840-v (dul:Process)	preserve by rapid freezing and subsequently drying in a vacuum
oewn-08083022-n	n	dul:Organization	phase1_propagated	aluminum business	synset-aluminum_business-noun-1	manufacturers of aluminum considered as a group
oewn-02894514-a	a	dul:Quality	phase4_A2_pertainym_default	neuroglial	adj.pert head — relational adjective	relating to or consisting of neuroglia
oewn-00253599-s	s	dul:Quality	phase4_A1_satellite_inherits_head	intimidated	inherited from head oewn-00252675-a	made timid or fearful as by threats
oewn-04832208-n	n	dul:Quality	phase1_propagated	implicitness	synset-implicitness-noun-1	inexplicitness as a consequence of being implied or indirect
oewn-00099205-n	n	dul:Action	phase1_propagated	mechanism	synset-mechanism-noun-2	the technical aspects of doing something
oewn-90017941-s	s	dul:Quality	phase4_A1_satellite_inherits_head	slim thick	inherited from head oewn-00991420-a	of a female with a large bottom and a slim waist
oewn-00450751-r	r	dul:Region	phase4_R1_adv_manner	sensationally	manner adverb	in a sensational manner
oewn-00029677-n	n	dul:Event	phase1_topmapping	event	synset-event-noun-1	something that happens at a given place and time
oewn-01519166-v	v	dul:Action	phase3_propagated_from_hypernym	force	from oewn-01903255-v[propagated_from_hypernym]	force into or from an action or state, either physically or metaphorically
oewn-02301324-s	s	dul:Quality	phase4_A1_satellite_inherits_head	tottering	inherited from head oewn-02299575-a	(of structures or institutions) having lost stability; failing or on the point of collapse
oewn-01748360-a	a	dul:Quality	phase4_A5_adj_head_default	perceptive	adj.all head default	having the ability to perceive or understand; keen in discernment
oewn-11535484-n	n	dul:Event	phase1_propagated	tension	synset-tension-noun-4	(physics) a stress that produces an elongation of an elastic physical body
oewn-11678036-n	n	dul:Organism	phase1_propagated	nagi	synset-nagi-noun-1	medium-sized tree having glossy lanceolate leaves; southern China to Taiwan and southern Japan
oewn-02007041-s	s	dul:Quality	phase4_A1_satellite_inherits_head	refractory	inherited from head oewn-02006866-a	temporarily unresponsive or not fully responsive to a process or stimulus
oewn-00544043-s	s	dul:Quality	phase4_A1_satellite_inherits_head	low-density	inherited from head oewn-00542013-a	having low concentration
