doubt_id	oewn_id	pos	primary_lemma	gloss	chosen_class	chosen_reason	alternative_class	alternative_reason	class_distance	doubt_category	method	priority_score	downstream_count	decision	decision_comment
D-000001	oewn-00122978-v	v	change	become different in some particular way, without permanently losing one's or its former characteristics or essence	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1,R3: R1=gloss_starts_'become';R3=5/8_tier1_kids_agree_on_dul:Action	1	C1_rule_conflict	phase3_propagated_from_hypernym	28.0	60		
D-000002	oewn-02439823-v	v	join	become part of; become a member of a group or organization	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1,R3: R1=gloss_starts_'become';R3=4/4_tier1_kids_agree_on_dul:Action	1	C1_rule_conflict	phase3_propagated_from_hypernym	16.4	31		
D-000003	oewn-00356912-v	v	change surface	undergo or cause to undergo a change in the surface	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Action	Phase 3.5 rules R2,R3,R6: R2=dul:Process_signals:2;R6=transitive_+action_marker;R3=5/5_tier1_kids_agree_on_dul:Action	1	C1_rule_conflict	phase3_propagated_from_hypernym	25.2	53		
D-000004	oewn-00224594-v	v	die down	become progressively weaker	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1,R2: R1=gloss_starts_'become';R2=dul:Process_signals:1	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000005	oewn-00376777-v	v	dissolve	become or cause to become soft or liquid	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1,R2: R1=gloss_starts_'become';R2=dul:Action_signals:1	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.8	2		
D-000006	oewn-00276052-v	v	erode	become ground down or deteriorate	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1,R2: R1=gloss_starts_'become';R2=dul:Process_signals:1	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000007	oewn-00225077-v	v	fade	become less clearly visible or distinguishable; disappear gradually or seemingly	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1,R2: R1=gloss_starts_'become';R2=dul:Process_signals:1	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000008	oewn-00305033-v	v	flare out	become flared and widen, usually at one end	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1,R2: R1=gloss_starts_'become';R2=dul:Event_signals:1	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000009	oewn-00224354-v	v	melt	become less intense and fade away gradually	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1,R2: R1=gloss_starts_'become';R2=dul:Process_signals:1	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000010	oewn-02595027-v	v	pal	become friends; act friendly towards	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1,R2: R1=gloss_starts_'become';R2=dul:Action_signals:1	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000011	oewn-00400459-v	v	putrefy	become putrid; decay with an offensive smell	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1,R2: R1=gloss_starts_'become';R2=dul:Process_signals:1	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000012	oewn-00588295-v	v	shear	become deformed by forces tending to produce a shearing strain	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1,R2: R1=gloss_starts_'become';R2=dul:Action_signals:1	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000013	oewn-01523477-v	v	unravel	become or cause to become undone by separating the fibers or threads of	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1,R2: R1=gloss_starts_'become';R2=dul:Action_signals:1	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000014	oewn-01913672-v	v	upend	become turned or set on end	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1,R2: R1=gloss_starts_'become';R2=dul:Event_signals:1	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000015	oewn-00338881-v	v	break up	break or cause to break into pieces	dul:Event	Phase 3 tier: propagated_from_hypernym	dul:Action	Phase 3.5 rules R2,R3: R2=dul:Action_signals:1;R3=4/4_tier1_kids_agree_on_dul:Action	1	C1_rule_conflict	phase3_propagated_from_hypernym	12.8	22		
D-000016	oewn-00638921-v	v	calculate	make a mathematical calculation or computation	dul:Process	Phase 3 tier: propagated_from_hypernym	dul:Action	Phase 3.5 rules R2,R3: R2=dul:Action_signals:1;R3=5/5_tier1_kids_agree_on_dul:Action	1	C1_rule_conflict	phase3_propagated_from_hypernym	20.8	42		
D-000017	oewn-01987785-v	v	change posture	undergo a change in bodily posture	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Process	Phase 3.5 rules R2,R3: R2=dul:Process_signals:1;R3=4/4_tier1_kids_agree_on_dul:Action	1	C1_rule_conflict	phase3_propagated_from_hypernym	16.4	31		
D-000018	oewn-00145958-v	v	change state	undergo a transformation or a change of position or action	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Process	Phase 3.5 rules R2,R3: R2=dul:Process_signals:1;R3=15/26_tier1_kids_agree_on_dul:Action	1	C1_rule_conflict	phase3_propagated_from_hypernym	84.8	202		
D-000019	oewn-01335412-v	v	cover	provide with a covering or cause to be covered	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Action	Phase 3.5 rules R2,R3: R2=dul:Action_signals:1;R3=4/4_tier1_kids_agree_on_dul:Action	1	C1_rule_conflict	phase3_propagated_from_hypernym	79.6	189		
D-000020	oewn-02534950-v	v	fail	fail to do something; leave something undone	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Action	Phase 3.5 rules R2,R3: R2=dul:Action_signals:1;R3=3/3_tier1_kids_agree_on_dul:Action	1	C1_rule_conflict	phase3_propagated_from_hypernym	8.8	12		
D-000021	oewn-02382049-v	v	interact	act together or towards others or with others	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Action	Phase 3.5 rules R2,R3: R2=dul:Action_signals:1;R3=8/9_tier1_kids_agree_on_dul:Action	1	C1_rule_conflict	phase3_propagated_from_hypernym	404.0	1000		
D-000022	oewn-01214263-v	v	manipulate	hold something in one's hands and move it	dul:Event	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R2,R3: R2=dul:State_signals:1;R3=3/3_tier1_kids_agree_on_dul:Action	1	C1_rule_conflict	phase3_propagated_from_hypernym	23.2	48		
D-000023	oewn-01835473-v	v	move	move so as to change position, perform a nontranslational motion	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Action	Phase 3.5 rules R2,R3: R2=dul:Action_signals:1;R3=24/25_tier1_kids_agree_on_dul:Action	1	C1_rule_conflict	phase3_propagated_from_hypernym	138.0	335		
D-000024	oewn-01548665-v	v	rest	not move; be in a resting position	dul:Event	Phase 3 tier: tier3_default_event	dul:State	Phase 3.5 rules R2,R3: R2=dul:State_signals:1;R3=3/3_tier1_kids_agree_on_dul:Action	1	C1_rule_conflict	phase3_tier3_default_event	19.5	29		
D-000025	oewn-02180712-v	v	sound	make a certain noise or sound	dul:Event	Phase 3 tier: tier3_default_event	dul:Action	Phase 3.5 rules R2,R3: R2=dul:Action_signals:1;R3=2/3_tier1_kids_agree_on_dul:State	1	C1_rule_conflict	phase3_tier3_default_event	51.5	93		
D-000026	oewn-02645159-v	v	loiter	be about a place without any apparent purpose	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1,R7: R1=gloss_starts_'be';R7=example_aspect:dul:State=2	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.4	1		
D-000027	oewn-02661230-v	v	be	occupy a certain position or area; be somewhere	dul:Event	Phase 3 tier: tier3_default_event	dul:State	Phase 3.5 rules R3,R7: R3=12/19_tier1_kids_agree_on_dul:State;R7=example_aspect:dul:State=3	1	C1_rule_conflict	phase3_tier3_default_event	89.0	168		
D-000028	oewn-00410568-v	v	Americanize	become American in character	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000029	oewn-00411574-v	v	Frenchify	become French in appearance or character	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000030	oewn-00245945-v	v	abate	become less in amount or intensity	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000031	oewn-01542421-v	v	absorb	become imbued	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.8	2		
D-000032	oewn-02747421-v	v	accept	be designed to hold or take	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000033	oewn-02641114-v	v	account for	be the reason or explanation for	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000034	oewn-00211073-v	v	addle	become rotten	dul:Process	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000035	oewn-02644929-v	v	adhere	be a devoted follower or supporter	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000036	oewn-00253596-v	v	adolesce	become adolescent; pass through adolescence	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000037	oewn-01380605-v	v	aerosolize	become dispersed as an aerosol	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000038	oewn-01195161-v	v	afford	be able to spare or give up	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000039	oewn-00078418-v	v	ail	be ill or unwell	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000040	oewn-00975760-v	v	air	be broadcast	dul:Process	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.4	1		
D-000041	oewn-00134706-v	v	alkalinize	become alkaline	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000042	oewn-01186429-v	v	answer	be satisfactory for; meet the requirements of or serve the purpose of	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000043	oewn-02751892-v	v	answer	be liable or accountable	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000044	oewn-01808928-v	v	anticipate	be excited or anxious about	dul:Process	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.4	1		
D-000045	oewn-00426920-v	v	appear	be issued or published	dul:Process	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	5.2	3		
D-000046	oewn-00593736-v	v	appreciate	be fully aware of; realize fully	dul:Process	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000047	oewn-02386713-v	v	ascend	become king or queen	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000048	oewn-00160255-v	v	assimilate	become similar in sound	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000049	oewn-00305443-v	v	astringe	become constricted or compressed	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000050	oewn-01292858-v	v	attach	be attached; be in contact with	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.4	1		
D-000051	oewn-01293025-v	v	attach	become attached	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	8.8	12		
D-000052	oewn-00221127-v	v	attenuate	become weaker, in strength, value, or magnitude	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.4	1		
D-000053	oewn-01811849-v	v	attract	be attractive to	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	5.6	4		
D-000054	oewn-01708311-v	v	author	be the author of	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.8	2		
D-000055	oewn-02554745-v	v	avail	be of use to, be useful to	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000056	oewn-00134372-v	v	barbarize	become crude or savage or barbaric in behavior or language	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000057	oewn-01550963-v	v	bask	be exposed	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000058	oewn-00837185-v	v	beat around the bush	be deliberately ambiguous or unclear in order to mislead or withhold information	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000059	oewn-02099668-v	v	bed-hop	be sexually active with more than one partner	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000060	oewn-02594833-v	v	befriend	become friends with	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.4	1		
D-000061	oewn-02713541-v	v	beggar	be beyond the resources of	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
