doubt_id	oewn_id	pos	primary_lemma	gloss	chosen_class	chosen_reason	alternative_class	alternative_reason	class_distance	doubt_category	method	priority_score	downstream_count	decision	decision_comment
D-001230	oewn-00023280-n	n	psychological feature	a feature of the mental life of a living organism	dul:Description	propagated via phase1_propagated	dul:Organism	own gloss suggests: organism keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	606.0	1000	accept_current	psychological feature: 'a feature of mental life of a living organism'. 'organism' refers to what the feature is OF, not the feature itself. Description is correct. False positive by keyword match.
D-004704	oewn-14085287-n	n	illness	impairment of normal physiological function affecting part or all of an organism	dul:Situation	propagated via phase1_propagated	dul:Organism	own gloss suggests: organism keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	424.8	698	accept_current	illness: 'impairment of physiological function affecting an organism'. Not an organism. Situation is defensible though 'State' might be marginally better; keep current.
D-000021	oewn-02382049-v	v	interact	act together or towards others or with others	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Action	Phase 3.5 rules R2,R3: R2=dul:Action_signals:1;R3=8/9_tier1_kids_agree_on_dul:Action	1	C1_rule_conflict	phase3_propagated_from_hypernym	404.0	1000	accept_proposed	interact: 'act together' is clearly Action. 8/9 Tier-1 children already Action.
D-000626	oewn-00109468-v	v	change	undergo a change; become different in essence; losing one's or its original nature	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Process	Phase 3.5 rules R2: R2=dul:Process_signals:1	1	C1_rule_conflict	phase3_propagated_from_hypernym	404.0	1000	accept_proposed	change: 'undergo a change; become different' — 'undergo' is the Process marker in Gangemi §3.
D-003103	oewn-05844071-n	n	concept	an abstract or general idea inferred or derived from specific instances	coll:InformationCollection	propagated via phase1_propagated	dul:Concept	own gloss suggests: lemma 'concept' is metalevel	3	C2_hypernym_vs_gloss	phase1_propagated	304.8	498	accept_proposed	concept: 'an abstract or general idea'. Lemma IS concept; the Concept class is exact. InformationCollection was a Framester over-reach.
D-005859	oewn-03580409-n	n	instrumentality	an artifact (that is instrumental in accomplishing some end) for accomplishing some end	dul:DesignedArtifact	collapsed from Framester multi-class via method priority	dul:Right	Framester propagated also assigned this class (synset-means-noun-3)	3	C3_multiclass_framester	phase1_topmapping	303.0	1000	accept_current	instrumentality: 'an artifact (that is instrumental...) for accomplishing some end'. Artifact is in gloss. DesignedArtifact > Right.
D-005119	oewn-14964524-n	n	liquid	a substance that is liquid at room temperature and pressure	dul:Substance	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	262.8	428	accept_current	liquid: 'a substance that is liquid at room temperature'. 'room' is context, not denotation. Substance is correct.
D-001303	oewn-00199979-n	n	change of state	the act of changing something into something different in essential characteristics	dul:Situation	propagated via phase1_propagated	dul:Action	own gloss suggests: gloss opens 'the act of'	3	C2_hypernym_vs_gloss	phase1_propagated	255.0	415	accept_proposed	change of state: gloss opens 'the act of changing something into something different'. Clear Action, not Situation.
D-000497	oewn-02609706-v	v	exist	have an existence, be extant	dul:Event	Phase 3 tier: tier3_default_event	dul:State	Phase 3.5 rules R3: R3=33/42_tier1_kids_agree_on_dul:State	1	C1_rule_conflict	phase3_tier3_default_event	223.5	437	accept_proposed	exist: 'have an existence' is the canonical State. 33/42 Tier-1 children agree.
D-001437	oewn-00280679-n	n	motion	the act of changing location from one place to another	dul:Situation	propagated via phase1_propagated	dul:Action	own gloss suggests: gloss opens 'the act of'	3	C2_hypernym_vs_gloss	phase1_propagated	196.8	318	accept_proposed	motion: gloss opens 'the act of changing location from one place to another'. Action.
