child	child_class	parent	parent_class	child_lemma	parent_lemma	child_gloss
oewn-00003553-n	dul:System	oewn-00002684-n	dul:PhysicalObject	whole	object	an assemblage of parts that is regarded as a single entity
oewn-00019308-n	dul:PhysicalObject	oewn-00003553-n	dul:System	natural object	whole	an object occurring naturally; not made by man
oewn-00019793-n	dul:Substance	oewn-13831419-n	dul:Relation	substance	part	the real physical matter of which a person or thing consists
oewn-00021007-n	dul:Substance	oewn-00001930-n	dul:PhysicalObject	matter	physical entity	that which has mass and occupies space
oewn-00022119-n	dul:PhysicalObject	oewn-00003553-n	dul:System	artifact	whole	a man-made object taken as a whole
oewn-00027365-n	dul:SpaceRegion	oewn-00002684-n	dul:PhysicalObject	location	object	a point or extent in space; a point or extent in space
oewn-00029976-n	dul:Process	oewn-00001930-n	dul:PhysicalObject	process	physical entity	a sustained phenomenon or one marked by gradual changes through a series of states
oewn-00031563-n	dul:Collection	oewn-00002137-n	dul:Description	group	abstraction	any number of entities (members) considered as a unit
oewn-00101073-n	ontopic:Topic	oewn-00551808-n	dul:Action	musical performance	performance	the act of performing music
oewn-00108220-n	dul:BiologicalObject	oewn-00107092-n	dul:Action	ball	pitch	a pitch that is not in the strike zone
oewn-00113494-n	dul:Relation	oewn-00113132-n	dul:Action	depression	push	pushing down
oewn-00113648-n	dul:Action	oewn-00113494-n	dul:Relation	click	depression	depression of a button on a computer mouse
oewn-00190106-n	dul:Amount	oewn-00189955-n	dul:Action	point after	conversion	in American football a point awarded for a successful place kick following a touchdown
oewn-00429255-n	ontopic:Topic	oewn-00427931-n	dul:Action	dancing	diversion	taking a series of rhythmical steps (and movements) in time to music
oewn-00446514-n	dul:FunctionalSubstance	oewn-00446336-n	dul:Action	crab	rowing	a stroke of the oar that either misses the water or digs too deeply
oewn-00453279-n	http://www.ontologydesignpatterns.org/ont/dul/Conceptualization.owl#InternalRepresentation	oewn-00434601-n	dul:Action	hunt	outdoor sport	the pursuit and killing or capture of wild animals regarded as a sport
oewn-00453279-n	http://www.ontologydesignpatterns.org/ont/dul/Conceptualization.owl#InternalRepresentation	oewn-00452852-n	dul:Action	hunt	blood sport	the pursuit and killing or capture of wild animals regarded as a sport
oewn-00453758-n	dul:Action	oewn-00453279-n	http://www.ontologydesignpatterns.org/ont/dul/Conceptualization.owl#InternalRepresentation	battue	hunt	a hunt in which beaters force the game to flee in the direction of the hunter
oewn-00453888-n	dul:Action	oewn-00453279-n	http://www.ontologydesignpatterns.org/ont/dul/Conceptualization.owl#InternalRepresentation	beagling	hunt	hunting rabbits with beagles
oewn-00453971-n	dul:Action	oewn-00623824-n	dul:Organization	canned hunt	hunt	a hunt for animals that have been raised on game ranches until they are mature enough to be killed for trophy collections
oewn-00454150-n	dul:Action	oewn-00453279-n	http://www.ontologydesignpatterns.org/ont/dul/Conceptualization.owl#InternalRepresentation	coursing	hunt	hunting with dogs (usually greyhounds) that are trained to chase game (such as hares) by sight instead of by scent
oewn-00454337-n	dul:Action	oewn-00453279-n	http://www.ontologydesignpatterns.org/ont/dul/Conceptualization.owl#InternalRepresentation	deer hunting	hunt	hunting deer
oewn-00454420-n	dul:Action	oewn-00453279-n	http://www.ontologydesignpatterns.org/ont/dul/Conceptualization.owl#InternalRepresentation	ducking	hunt	hunting ducks
oewn-00454502-n	dul:Action	oewn-00453279-n	http://www.ontologydesignpatterns.org/ont/dul/Conceptualization.owl#InternalRepresentation	fox hunting	hunt	mounted hunters follow hounds in pursuit of a fox
