oewn_id	primary_lemma	all_lemmas	pos	current_class	current_tier	current_provenance	rules_triggered	top_proposal	rule_proposals	rationale	gloss	examples	hypernyms	troponym_count	confidence_score	decision
oewn-00122978-v	change	change|alter|vary	v	dul:State	propagated_from_hypernym	from oewn-02372362-v[tier1_derivation]	R1,R3	dul:Achievement	R1:dul:Achievement;R3:dul:Action	R1=gloss_starts_'become';R3=5/8_tier1_kids_agree_on_dul:Action	become different in some particular way, without permanently losing one's or its former characteristics or essence	her mood changes in accordance with the weather | The supermarket's selection of vegetables varies according to the season	oewn-02372362-v	21	4	
oewn-02439823-v	join	join|fall in|get together	v	dul:State	propagated_from_hypernym	from oewn-02372362-v[tier1_derivation]	R1,R3	dul:Achievement	R1:dul:Achievement;R3:dul:Action	R1=gloss_starts_'become';R3=4/4_tier1_kids_agree_on_dul:Action	become part of; become a member of a group or organization	He joined the Communist Party as a young man	oewn-02372362-v	9	4	
oewn-00356912-v	change surface	change surface	v	dul:State	propagated_from_hypernym	from oewn-00109468-v[propagated_from_hypernym]	R2,R3,R6	dul:Action	R2:dul:Process;R6:dul:Action;R3:dul:Action	R2=dul:Process_signals:2;R6=transitive_+action_marker;R3=5/5_tier1_kids_agree_on_dul:Action	undergo or cause to undergo a change in the surface		oewn-00109468-v	14	4	
oewn-00224594-v	die down	die down	v	dul:Action	propagated_from_hypernym	from oewn-00223926-v[propagated_from_hypernym]	R1,R2	dul:Achievement	R1:dul:Achievement;R2:dul:Process	R1=gloss_starts_'become';R2=dul:Process_signals:1	become progressively weaker	the laughter died down	oewn-00223926-v	0	3	
oewn-00376777-v	dissolve	dissolve|thaw|unfreeze|unthaw|dethaw|melt	v	dul:State	propagated_from_hypernym	from oewn-00444939-v[propagated_from_hypernym]	R1,R2	dul:Achievement	R1:dul:Achievement;R2:dul:Action	R1=gloss_starts_'become';R2=dul:Action_signals:1	become or cause to become soft or liquid	The sun melted the ice | the ice thawed | the ice cream melted | The heat melted the wax | The giant iceberg dissolved over the years during the global warming phase | dethaw the meat	oewn-00444939-v	2	3	
oewn-00276052-v	erode	erode|gnaw|gnaw at|eat at|wear away	v	dul:State	propagated_from_hypernym	from oewn-00209244-v[propagated_from_hypernym]	R1,R2	dul:Achievement	R1:dul:Achievement;R2:dul:Process	R1=gloss_starts_'become';R2=dul:Process_signals:1	become ground down or deteriorate	Her confidence eroded	oewn-00209244-v	0	3	
oewn-00225077-v	fade	fade|melt	v	dul:Action	propagated_from_hypernym	from oewn-00223926-v[propagated_from_hypernym]	R1,R2	dul:Achievement	R1:dul:Achievement;R2:dul:Process	R1=gloss_starts_'become';R2=dul:Process_signals:1	become less clearly visible or distinguishable; disappear gradually or seemingly	The scene begins to fade | The tree trunks are melting into the forest at dusk	oewn-00223926-v	0	3	
oewn-00305033-v	flare out	flare out|flare	v	dul:Action	propagated_from_hypernym	from oewn-00304246-v[tier2_indirect]	R1,R2	dul:Achievement	R1:dul:Achievement;R2:dul:Event	R1=gloss_starts_'become';R2=dul:Event_signals:1	become flared and widen, usually at one end	The bellbottom pants flare out	oewn-00304246-v	0	3	
oewn-00224354-v	melt	melt|disappear|evaporate	v	dul:Action	propagated_from_hypernym	from oewn-00223926-v[propagated_from_hypernym]	R1,R2	dul:Achievement	R1:dul:Achievement;R2:dul:Process	R1=gloss_starts_'become';R2=dul:Process_signals:1	become less intense and fade away gradually	her resistance melted under his charm | her hopes evaporated after years of waiting for her fiance	oewn-00223926-v	0	3	
oewn-02595027-v	pal	pal|pal up|chum up	v	dul:State	propagated_from_hypernym	from oewn-02594833-v[propagated_from_hypernym]	R1,R2	dul:Achievement	R1:dul:Achievement;R2:dul:Action	R1=gloss_starts_'become';R2=dul:Action_signals:1	become friends; act friendly towards		oewn-02594833-v	0	3	
oewn-00400459-v	putrefy	putrefy	v	dul:State	propagated_from_hypernym	from oewn-00553892-v[propagated_from_hypernym]	R1,R2	dul:Achievement	R1:dul:Achievement;R2:dul:Process	R1=gloss_starts_'become';R2=dul:Process_signals:1	become putrid; decay with an offensive smell	organic matter putrefies	oewn-00553892-v	0	3	
oewn-00588295-v	shear	shear	v	dul:State	propagated_from_hypernym	from oewn-00109468-v[propagated_from_hypernym]	R1,R2	dul:Achievement	R1:dul:Achievement;R2:dul:Action	R1=gloss_starts_'become';R2=dul:Action_signals:1	become deformed by forces tending to produce a shearing strain		oewn-00109468-v	0	3	
oewn-01523477-v	unravel	unravel|unknot|unscramble|untangle|unpick	v	dul:State	propagated_from_hypernym	from oewn-01522610-v[propagated_from_hypernym]	R1,R2	dul:Achievement	R1:dul:Achievement;R2:dul:Action	R1=gloss_starts_'become';R2=dul:Action_signals:1	become or cause to become undone by separating the fibers or threads of	unravel the thread	oewn-01522610-v	0	3	
oewn-01913672-v	upend	upend	v	dul:Action	propagated_from_hypernym	from oewn-01913390-v[tier1_derivation]	R1,R2	dul:Achievement	R1:dul:Achievement;R2:dul:Event	R1=gloss_starts_'become';R2=dul:Event_signals:1	become turned or set on end	the airplanes upended	oewn-01913390-v	0	3	
oewn-00338881-v	break up	break up|fragment|fragmentize|fragmentise	v	dul:Event	propagated_from_hypernym	from oewn-00334996-v[tier1_derivation]	R2,R3	dul:Action	R2:dul:Action;R3:dul:Action	R2=dul:Action_signals:1;R3=4/4_tier1_kids_agree_on_dul:Action	break or cause to break into pieces	The plate fragmented	oewn-00334996-v	10	3	
oewn-00638921-v	calculate	calculate|cipher|cypher|compute|work out|reckon|figure	v	dul:Process	propagated_from_hypernym	from oewn-00634289-v[propagated_from_hypernym]	R2,R3	dul:Action	R2:dul:Action;R3:dul:Action	R2=dul:Action_signals:1;R3=5/5_tier1_kids_agree_on_dul:Action	make a mathematical calculation or computation		oewn-00634289-v	21	3	
oewn-01987785-v	change posture	change posture	v	dul:State	propagated_from_hypernym	from oewn-00109468-v[propagated_from_hypernym]	R2,R3	dul:Process	R2:dul:Process;R3:dul:Action	R2=dul:Process_signals:1;R3=4/4_tier1_kids_agree_on_dul:Action	undergo a change in bodily posture		oewn-00109468-v	13	3	
oewn-00145958-v	change state	change state|turn	v	dul:State	propagated_from_hypernym	from oewn-00109468-v[propagated_from_hypernym]	R2,R3	dul:Process	R2:dul:Process;R3:dul:Action	R2=dul:Process_signals:1;R3=15/26_tier1_kids_agree_on_dul:Action	undergo a transformation or a change of position or action	We turned from Socialism to Capitalism | The people turned against the President when he stole the election	oewn-00109468-v	73	3	
oewn-01335412-v	cover	cover	v	dul:State	propagated_from_hypernym	from oewn-02372362-v[tier1_derivation]	R2,R3	dul:Action	R2:dul:Action;R3:dul:Action	R2=dul:Action_signals:1;R3=4/4_tier1_kids_agree_on_dul:Action	provide with a covering or cause to be covered	cover her face with a handkerchief | cover the child with a blanket | cover the grave with flowers	oewn-02372362-v	83	3	
oewn-02534950-v	fail	fail|neglect	v	dul:State	propagated_from_hypernym	from oewn-02372362-v[tier1_derivation]	R2,R3	dul:Action	R2:dul:Action;R3:dul:Action	R2=dul:Action_signals:1;R3=3/3_tier1_kids_agree_on_dul:Action	fail to do something; leave something undone	She failed to notice that her child was no longer in his crib | The secretary failed to call the customer and the company lost the account	oewn-02372362-v	8	3	
oewn-02382049-v	interact	interact	v	dul:State	propagated_from_hypernym	from oewn-02372362-v[tier1_derivation]	R2,R3	dul:Action	R2:dul:Action;R3:dul:Action	R2=dul:Action_signals:1;R3=8/9_tier1_kids_agree_on_dul:Action	act together or towards others or with others	He should interact more with his colleagues	oewn-02372362-v	22	3	
oewn-01214263-v	manipulate	manipulate	v	dul:Event	propagated_from_hypernym	from oewn-01213301-v[propagated_from_hypernym]	R2,R3	dul:State	R2:dul:State;R3:dul:Action	R2=dul:State_signals:1;R3=3/3_tier1_kids_agree_on_dul:Action	hold something in one's hands and move it		oewn-01213301-v	10	3	
oewn-01835473-v	move	move	v	dul:State	propagated_from_hypernym	from oewn-02372362-v[tier1_derivation]	R2,R3	dul:Action	R2:dul:Action;R3:dul:Action	R2=dul:Action_signals:1;R3=24/25_tier1_kids_agree_on_dul:Action	move so as to change position, perform a nontranslational motion	He moved his hand slightly to the right	oewn-02372362-v	99	3	
oewn-01548665-v	rest	rest	v	dul:Event	tier3_default_event	gloss	R2,R3	dul:State	R2:dul:State;R3:dul:Action	R2=dul:State_signals:1;R3=3/3_tier1_kids_agree_on_dul:Action	not move; be in a resting position		oewn-02661230-v	4	3	
oewn-02180712-v	sound	sound|go	v	dul:Event	tier3_default_event	gloss	R2,R3	dul:Action	R2:dul:Action;R3:dul:State	R2=dul:Action_signals:1;R3=2/3_tier1_kids_agree_on_dul:State	make a certain noise or sound	She went ‘Mmmmm’ | The gun went ‘bang’	oewn-02128368-v	58	3	
oewn-02645159-v	loiter	loiter|lounge|footle|lollygag|loaf|lallygag|hang around|mess about|tarry|linger|lurk|mill about|mill around	v	dul:Action	propagated_from_hypernym	from oewn-02644022-v[tier1_derivation]	R1,R7	dul:State	R1:dul:State;R7:dul:State	R1=gloss_starts_'be';R7=example_aspect:dul:State=2	be about a place without any apparent purpose	The high school students like to loiter in the Central Square | Who is this man that is hanging around the department?	oewn-02644022-v	1	2.5	
oewn-02661230-v	be	be	v	dul:Event	tier3_default_event	gloss	R3,R7	dul:State	R3:dul:State;R7:dul:State	R3=12/19_tier1_kids_agree_on_dul:State;R7=example_aspect:dul:State=3	occupy a certain position or area; be somewhere	Where is my umbrella? | The toolshed is in the back | What is behind this behavior?	oewn-02609706-v	36	2.5	
