child	child_class	parent	parent_class	child_lemma	parent_lemma	child_gloss
oewn-00002137-n	dul:Description	oewn-00001740-n	dul:PhysicalObject	abstraction	entity	a general concept formed by extracting common features from specific examples
oewn-00004258-n	dul:PhysicalAgent	oewn-00003553-n	dul:System	living thing	whole	a living (or once living) entity
oewn-00006484-n	dul:BiologicalObject	oewn-00004258-n	dul:PhysicalAgent	cell	living thing	(biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies o
oewn-00023451-n	conc:InternalRepresentation	oewn-00023280-n	dul:Description	cognition	psychological feature	the psychological result of perception and learning and reasoning
oewn-00023953-n	dul:Event	oewn-00023280-n	dul:Description	motivation	psychological feature	the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction 
oewn-00024444-n	dul:Region	oewn-00002137-n	dul:Description	attribute	abstraction	an abstraction belonging to or characteristic of an entity
oewn-00024900-n	dul:Situation	oewn-00024444-n	dul:Region	state	attribute	the way something is with respect to its main attributes
oewn-00026390-n	conc:InternalRepresentation	oewn-00024900-n	dul:Situation	feeling	state	the experiencing of affective and emotional states
oewn-00029677-n	dul:Event	oewn-00002137-n	dul:Description	event	abstraction	something that happens at a given place and time
oewn-00032220-n	dul:Relation	oewn-00002137-n	dul:Description	relation	abstraction	an abstraction belonging to or characteristic of two entities or parts together
oewn-00032912-n	dul:Right	oewn-00032220-n	dul:Relation	possession	relation	anything owned or possessed
oewn-00033319-n	dul:InformationObject	oewn-00002137-n	dul:Description	communication	abstraction	something that is communicated by or to or between people or groups
oewn-00033914-n	dul:Amount	oewn-00002137-n	dul:Description	measure	abstraction	how much there is or how many there are of something that you can quantify
oewn-00067036-n	dul:Situation	oewn-00030657-n	dul:Action	nonaccomplishment	act	an act that does not achieve its intended goal
oewn-00068217-n	dul:Situation	oewn-01236910-n	dul:Action	default	absence	loss due to not showing up
oewn-00090171-n	dul:Situation	oewn-00078239-n	dul:Action	restitution	acquisition	getting something back again
oewn-00090477-n	dul:Action	oewn-00090171-n	dul:Situation	clawback	restitution	finding a way to take money back from people that they were given in another way
oewn-00149266-n	dul:Situation	oewn-00855117-n	dul:Action	tubal ligation	surgical contraception	a sterilization procedure with women; both Fallopian tubes are tied in two places and the tubes removed in between the ligations
oewn-00153050-n	dul:Method	oewn-01025762-n	dul:Action	Bertillon system	procedure	a system or procedure for identifying persons
oewn-00191991-n	dul:Situation	oewn-00038116-n	dul:Action	change	action	the action of changing something
oewn-00195818-n	dul:Situation	oewn-00408356-n	dul:Action	variation	activity	an activity that varies from a norm or standard
oewn-00203133-n	dul:Situation	oewn-00038116-n	dul:Action	resistance	action	the action of opposing something that you disapprove or disagree with
oewn-00222045-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	oewn-00221389-n	dul:Situation	bloodshed	murder	the shedding of blood resulting in murder
oewn-00240350-n	dul:Situation	oewn-01029321-n	dul:Action	groundbreaking	ceremony	the ceremonial breaking of the ground to formally begin a construction project
oewn-00256081-n	dul:Situation	oewn-00256577-n	dul:Action	washup	wash	the act of washing yourself (or another person)
oewn-00256317-n	dul:Method	oewn-00256577-n	dul:Action	ablution	wash	the ritual washing of a priest's hands or of sacred vessels
oewn-00285985-n	dul:Situation	oewn-00859826-n	dul:Process	sleepwalking	sleeping	walking by a person who is asleep
oewn-00288120-n	dul:Method	oewn-00287801-n	dul:Situation	rack	gait	a rapid gait of a horse in which each foot strikes the ground separately
oewn-00297411-n	dul:Collective	oewn-01082290-n	dul:Action	procession	group action	the group action of a collection of people or animals or vehicles moving ahead in more or less regular formation
oewn-00297411-n	dul:Collective	oewn-07968050-n	dul:Collection	procession	collection	the group action of a collection of people or animals or vehicles moving ahead in more or less regular formation
oewn-00299323-n	dul:Situation	oewn-00816981-n	dul:Action	driving	steering	the act of controlling and steering the movement of a vehicle or animal
oewn-00319012-n	dul:InformationRealization	oewn-00318033-n	dul:Situation	post	delivery	the delivery and collection of letters and packages
oewn-00326920-n	dul:Situation	oewn-00524569-n	dul:Action	rock climbing	sport	the sport or pastime of scaling rock masses on mountain sides (especially with the help of ropes and special equipment)
oewn-00382488-n	dul:DesignedArtifact	oewn-00379793-n	dul:Situation	union	combination	the act of making or becoming a single unit
oewn-00382917-n	dul:Situation	oewn-00382488-n	dul:DesignedArtifact	coalescence	union	the union of diverse things into one body or form or group; the growing together of parts
