oewn_id	primary_lemma	gloss	assigned_class	judgement	proposed_alternative	rationale	batch
oewn-03463060-n	greenroom	a backstage room in a theater where performers rest or have visitors	dul:DesignedArtifact	agree		A greenroom is a designed physical structure/place in a theater. dul:DesignedArtifact is appropriate for a built room.	01
oewn-02776737-a	monotypic	consisting of only one type	dul:Quality	agree		"Pertainym adjective meaning ""of or relating to one type."" dul:Quality is correct; the relational nature is captured by dct:relation."	01
oewn-00122465-n	forwarding	the act of sending on to another destination	dul:Action	agree		"""The act of"" explicitly signals intentional agentive behavior. dul:Action is correct."	01
oewn-06940140-n	Uzbek	the Turkic language spoken by the Uzbek	dul:InformationObject	agree		A language is an abstract information object. dul:InformationObject is correct.	01
oewn-09296036-n	ember	a hot fragment of wood or coal that is left from a fire and is glowing or smoldering	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	debatable	dul:PhysicalObject or dul:Amount	Ember is a material piece of burning wood/coal. DependentPart fits if it cannot exist without the fire context, but it could also be dul:PhysicalObject.	01
oewn-06232886-n	Gnosticism	a religious orientation advocating gnosis as the way to release a person's spiritual element; considered heresy by Christian churches	coll:InformationCollection	agree		A religion is a collection of ideas, beliefs, and texts. coll:InformationCollection is appropriate.	01
oewn-00602203-n	secretary of energy	the position of the head of the Department of Energy	dul:Action	disagree	dul:Role or ontopic:Topic	"A ""position"" is a role or status, not an agentive action. dul:Action is incorrect; should be dul:Role or rol:Status."	01
oewn-04270367-n	soup bowl	a bowl for serving soup	dul:DesignedArtifact	agree		A bowl is a human-made object with a specific function. dul:DesignedArtifact is correct.	01
oewn-12317627-n	Gentianopsid procera	small blue-flowered fringed gentian of east central North America	dul:Organism	agree		A plant species is a living entity. dul:Organism is correct.	01
oewn-00854162-s	soigne	polished and well-groomed; showing sophisticated elegance	dul:Quality	agree		Describes an aesthetic/stylistic quality of appearance. dul:Quality is appropriate.	01
oewn-06903738-n	paraph	a flourish added after or under your signature (originally to protect against forgery)	dul:DesignedArtifact	agree		A paraph is a physical/graphical element made intentionally. dul:DesignedArtifact is appropriate.	01
oewn-09466545-n	spume	foam or froth on the sea	dul:SpaceRegion	debatable	dul:Amount or dul:PhysicalObject	Spume is foam, a physical substance. dul:SpaceRegion (purely spatial) seems too abstract; dul:Amount (quantity of matter) or dul:PhysicalObject may be better.	01
oewn-00502129-v	demulsify	break down into components	dul:Action	debatable	dul:Process	Breaking down is a gradual chemical process, not necessarily agentive. dul:Process may be more accurate than dul:Action.	01
oewn-00767258-v	propitiate	make peace with	dul:Action	agree		Making peace involves intentional agentive behavior. dul:Action is correct.	01
oewn-09879536-n	blind person	a person with a severe visual impairment	dul:Person	agree		A person is a person, regardless of visual status. dul:Person is correct.	01
oewn-03102541-n	controlled substance	a drug or chemical substance whose possession and use are controlled by law	dul:FunctionalSubstance	agree		A drug is matter with a specific functional/regulatory purpose. dul:FunctionalSubstance is appropriate.	01
oewn-01753964-v	scrape	make by scraping	dul:Action	agree		Making by scraping is an intentional agentive action. dul:Action is correct.	01
oewn-01087779-s	brimful	filled up	dul:Quality	agree		A state of being full is a quality. dul:Quality is correct.	01
oewn-13699442-n	Central African Republic franc	the basic unit of money in the Central African Republic	dul:Amount	agree		Currency is a quantified unit. dul:Amount is appropriate.	01
oewn-11702161-n	free central placentation	where ovules develop on a central column in a compound ovary lacking septa or with septa at base only	dul:BiologicalObject	agree		A placentation type is a biological structural part. dul:BiologicalObject is correct.	01
oewn-00212278-v	freeze-dry	preserve by rapid freezing and subsequently drying in a vacuum	dul:Process	agree		Freeze-drying involves gradual physical/chemical change. dul:Process is correct.	01
oewn-08083022-n	aluminum business	manufacturers of aluminum considered as a group	dul:Organization	agree		An organized group of manufacturers is an organization. dul:Organization is correct.	01
oewn-02894514-a	neuroglial	relating to or consisting of neuroglia	dul:Quality	agree		"Pertainym meaning ""of or relating to."" dul:Quality with dct:relation is the design pattern."	01
oewn-00253599-s	intimidated	made timid or fearful as by threats	dul:Quality	agree		Being intimidated is a psychological state/quality. dul:Quality is correct.	01
oewn-04832208-n	implicitness	inexplicitness as a consequence of being implied or indirect	dul:Quality	agree		Implicitness is an abstract quality of communication. dul:Quality is appropriate.	01
oewn-00099205-n	mechanism	the technical aspects of doing something	dul:Action	debatable	dul:Method or dul:Description	"""Technical aspects"" is not itself an action. dul:Method or dul:Description would be more appropriate."	01
oewn-90017941-s	slim thick	of a female with a large bottom and a slim waist	dul:Quality	debatable	dul:PhysicalAttribute	This describes physical body proportions/shape. dul:PhysicalAttribute may be more precise than generic dul:Quality.	01
oewn-00450751-r	sensationally	in a sensational manner	dul:Region	agree		A manner adverb describes a value in manner/quality space. dul:Region is correct.	01
oewn-00029677-n	event	something that happens at a given place and time	dul:Event	agree		The gloss directly defines an occurrence. dul:Event is correct.	01
oewn-01519166-v	force	force into or from an action or state, either physically or metaphorically	dul:Action	agree		Forcing involves agentive causation. dul:Action is correct.	01
oewn-02301324-s	tottering	(of structures or institutions) having lost stability; failing or on the point of collapse	dul:Quality	agree		Describes a state of instability. dul:Quality is correct.	01
oewn-01748360-a	perceptive	having the ability to perceive or understand; keen in discernment	dul:Quality	agree		A cognitive ability/capacity is a quality. dul:Quality is correct.	01
oewn-11535484-n	tension	(physics) a stress that produces an elongation of an elastic physical body	dul:Event	debatable	dul:Process or dul:State	Physical tension is a state (static) or process (changing). dul:Event is more general but less precise than alternatives.	01
oewn-11678036-n	nagi	medium-sized tree having glossy lanceolate leaves; southern China to Taiwan and southern Japan	dul:Organism	agree		A tree is a living entity. dul:Organism is correct.	01
oewn-02007041-s	refractory	temporarily unresponsive or not fully responsive to a process or stimulus	dul:Quality	agree		Describes a temporary state/quality of unresponsiveness. dul:Quality is correct.	01
oewn-00544043-s	low-density	having low concentration	dul:Quality	agree		Density is a measurable physical property. dul:PhysicalAttribute is correct.	01
oewn-02486512-v	outlaw	declare illegal; outlaw	dul:Action	agree		Declaring/outlawing is an agentive action. dul:Action is correct.	01
oewn-13291061-n	contribution	a voluntary gift (as of money or service or ideas) made to some worthwhile cause	dul:Action	debatable	dul:Action or dul:Amount	"A contribution can be the act (dul:Action) or the thing given (dul:Amount/dul:PhysicalObject). Gloss emphasizes ""voluntary gift"" which is dul:Action, but ambiguous."	01
oewn-03527797-n	hitch	a knot that can be undone by pulling against the strain that holds it; a temporary knot	dul:DesignedArtifact	agree		A knot is a constructed artifact with specific function. dul:DesignedArtifact is correct.	01
