synset_type	oewn_id	pos	primary_lemma	all_lemmas	proposed_class	rule	rationale	gloss	attribute	similar	domain_topic	user_decision
adjective_head	oewn-02482508-a	a	nonsubmersible	nonsubmersible|nonsubmergible	dul:Quality	A5_adj_head_default	adj.all head default	not submersible or submergible				
adjective_head	oewn-01166627-a	a	harmonious	harmonious	dul:Quality	A5_adj_head_default	adj.all head default	musically pleasing		01166864-s,01167133-s,01167303-s		
adjective_head	oewn-00316943-a	a	carpellate	carpellate|pistillate	dul:Quality	A5_adj_head_default	adj.all head default	bearing or consisting of carpels			06076105-n	
adjective_head	oewn-00072600-a	a	unaffected	unaffected	dul:Quality	A5_adj_head_default	adj.all head default	undergoing no change when acted upon		00072889-s,00073044-s,00073281-s		
adjective_head	oewn-01709128-a	a	lipless	lipless|unlipped	dul:Quality	A5_adj_head_default	adj.all head default	without a lip or lips				
adjective_head	oewn-01090234-a	a	empty	empty	dul:Quality	A5_adj_head_default	adj.all head default	holding or containing nothing	14475377-n	01090604-s,01090782-s,01090989-s		
adjective_head	oewn-01043525-a	a	undomestic	undomestic	dul:Quality	A5_adj_head_default	adj.all head default	not domestic or related to home	05216381-n	01043769-s		
adjective_head	oewn-00876911-a	a	energetic	energetic	dul:Quality	A5_adj_head_default	adj.all head default	possessing or exerting or displaying energy		00877400-s,00877534-s,00877855-s		
adjective_head	oewn-00747889-a	a	differentiated	differentiated	dul:Quality	A5_adj_head_default	adj.all head default	made different (especially in the course of development) or shown to be different				
adjective_head	oewn-00487240-a	a	nonresidential	nonresidential	dul:Quality	A5_adj_head_default	adj.all head default	not residential				
adjective_head	oewn-01447511-a	a	short	short	dul:Quality	A5_adj_head_default	adj.all head default	not holding securities or commodities that one sells in expectation of a fall in prices			06160103-n	
adjective_head	oewn-01400390-a	a	leaky	leaky	dul:Quality	A5_adj_head_default	adj.all head default	permitting the unwanted passage of fluids or gases		01400678-s,01400790-s,01400896-s		
adjective_head	oewn-00061347-a	a	anticholinergic	anticholinergic	dul:Quality	A5_adj_head_default	adj.all head default	inhibiting or blocking the action of acetylcholine at a receptor site				
adjective_head	oewn-02346397-a	a	sugarless	sugarless|nonsweet	dul:Quality	A5_adj_head_default	adj.all head default	not containing sugar		02346538-s,02346613-s		
adjective_head	oewn-01329869-a	a	segregated	segregated|unintegrated	dul:Quality	A5_adj_head_default	adj.all head default	separated or isolated from others or a main group		01330157-s,01330323-s,01330526-s		
adjective_head	oewn-00394569-a	a	saturated	saturated|pure	dul:PhysicalAttribute	A4_physical_attr_keyword	gloss has physical-attribute marker	(of color) being chromatically pure; not diluted with white or grey or black		00394744-s		
adjective_head	oewn-00367435-a	a	monochromatic	monochromatic|homochromatic	dul:PhysicalAttribute	A4_physical_attr_keyword	gloss has physical-attribute marker	(of light or other electromagnetic radiation) having only one wavelength				
adjective_head	oewn-01582381-a	a	sharp	sharp	dul:Quality	A5_adj_head_default	adj.all head default	(of a musical note) raised in pitch by one chromatic semitone			07034009-n	
adjective_head	oewn-02150398-a	a	breastless	breastless	dul:Quality	A5_adj_head_default	adj.all head default	without a breast				
adjective_head	oewn-01879374-a	a	superficial	superficial	dul:Quality	A5_adj_head_default	adj.all head default	concerned with or comprehending only what is apparent or obvious; not deep or penetrating emotionally or intellectually		01879953-s,01880299-s,01880529-s		
adjective_head	oewn-01350931-a	a	ultra vires	ultra vires	dul:Quality	A5_adj_head_default	adj.all head default	beyond the legal power or authority of a person or official or body etc			08458195-n	
adjective_head	oewn-00287444-a	a	broad-minded	broad-minded	dul:Quality	A5_adj_head_default	adj.all head default	inclined to respect views and beliefs that differ from your own		00287703-s,00287994-s,00288141-s		
adjective_head	oewn-00069669-a	a	anaerobic	anaerobic|anaerobiotic	dul:Quality	A5_adj_head_default	adj.all head default	living or active in the absence of free oxygen				
adjective_head	oewn-00302053-a	a	calculable	calculable	dul:Quality	A5_adj_head_default	adj.all head default	able to be calculated or estimated		00302292-s,00302449-s		
adjective_head	oewn-01424552-a	a	illiterate	illiterate	dul:Quality	A5_adj_head_default	adj.all head default	not able to read or write	05646331-n	01424760-s,01424971-s,01425116-s		
adjective_satellite	oewn-00573688-s	s	sentient	sentient	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00572854-a	consciously perceiving		00572854-a		
adjective_satellite	oewn-00733526-s	s	unconditional	unconditional	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00731008-a	not contingent; not determined or influenced by someone or something else		00731008-a		
adjective_satellite	oewn-01387980-s	s	deep	deep	dul:PhysicalAttribute	A1_satellite_inherits_head	inherited from head oewn-01385012-a	large in quantity or size		01385012-a		
adjective_satellite	oewn-00488978-s	s	frequent	frequent	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00487699-a	frequently encountered		00487699-a		
adjective_satellite	oewn-00695843-s	s	superficial	superficial	dul:PhysicalAttribute	A1_satellite_inherits_head	inherited from head oewn-00694973-a	occurring on or near the surface of the skin		00694973-a		
adjective_satellite	oewn-00982888-s	s	rapid	rapid	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00979699-a	done or occurring in a brief period of time		00979699-a		
adjective_satellite	oewn-02284931-s	s	noncarbonated	noncarbonated|uncarbonated	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-02284713-a	not having carbonation		02284713-a		
adjective_satellite	oewn-02516312-s	s	hard-and-fast	hard-and-fast|strict	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-02515761-a	(of rules) stringently enforced		02515761-a		
adjective_satellite	oewn-00967047-s	s	recreant	recreant|renegade	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00965823-a	having deserted a cause or principle		00965823-a		
adjective_satellite	oewn-01824324-s	s	perverse	perverse	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01823738-a	marked by a disposition to oppose and contradict		01823738-a		
adjective_satellite	oewn-00261839-s	s	lower-middle-class	lower-middle-class	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00261296-a	occupying the lower part of the middle socioeconomic range in a society		00261296-a		
adjective_satellite	oewn-01125269-s	s	divine	divine|elysian|inspired	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01124687-a	being of such surpassing excellence as to suggest inspiration by the gods		01124687-a		
adjective_satellite	oewn-01386791-s	s	biggish	biggish|largish	dul:PhysicalAttribute	A1_satellite_inherits_head	inherited from head oewn-01385012-a	somewhat large		01385012-a		
adjective_satellite	oewn-00021147-s	s	complaisant	complaisant|obliging	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00020824-a	showing a cheerful willingness to do favors for others		00020824-a		
adjective_satellite	oewn-01311849-s	s	ignorant	ignorant|unknowledgeable|unknowing|unwitting	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-01311380-a	unaware because of a lack of relevant information or knowledge		01311380-a		
adjective_pertainym	oewn-03157290-a	a	Yuman	Yuman	dul:Quality	A2_pertainym_relational	gloss opens 'of or relating to' — relational adjective	of or relating to the language or culture of the Yuma people				
adjective_pertainym	oewn-02708518-a	a	cleistogamous	cleistogamous|cleistogamic	dul:Quality	A2_pertainym_default	adj.pert default	exhibiting or relating to cleistogamy				
adjective_pertainym	oewn-02918643-a	a	paleoanthropological	paleoanthropological	dul:Quality	A2_pertainym_default	adj.pert default	of or concerned with the scientific study of human fossils				
adjective_pertainym	oewn-02804947-a	a	secretarial	secretarial	dul:Quality	A2_pertainym_relational	gloss opens 'of or relating to' — relational adjective	of or relating to a secretary or to a secretary's work				
