oewn_id	pos	dulplus_class	rule	rationale	primary_lemma	all_lemmas	gloss	pertainym_lemmas
oewn-00001740-a	a	dul:Quality	A5_adj_head_default	adj.all head default	able	able	(usually followed by ‘to’) having the necessary means or skill or know-how or authority to do something	
oewn-00001740-r	r	dul:Region	R7_adv_default	adverb default (quality region)	a cappella	a cappella|a capella	without musical accompaniment	a cappella,a cappella
oewn-00001885-r	r	dul:TimeInterval	R2_adv_temporal	temporal marker in gloss	AD	AD|A.D.|anno Domini	in the Christian era; used before dates after the supposed year Christ was born	
oewn-00002029-r	r	dul:TimeInterval	R2_adv_temporal	temporal marker in gloss	CE	CE|C.E.|Common Era	of the period coinciding with the Christian era; preferred by some writers who are not Christians	
oewn-00002098-a	a	dul:Quality	A5_adj_head_default	adj.all head default	unable	unable	(usually followed by ‘to’) not having the necessary means or skill or know-how	
oewn-00002190-r	r	dul:TimeInterval	R2_adv_temporal	temporal marker in gloss	BC	BC|B.C.|before Christ	before the Christian era; used following dates before the supposed year Christ was born	
oewn-00002312-a	a	dul:Quality	A5_adj_head_default	adj.all head default	abaxial	abaxial|dorsal	facing away from the axis of an organ or organism	
oewn-00002344-r	r	dul:TimeInterval	R2_adv_temporal	temporal marker in gloss	BCE	BCE|B.C.E.	of the period before the Common Era; preferred by some writers who are not Christians	
oewn-00002484-r	r	dul:Region	R7_adv_default	adverb default (quality region)	horseback	horseback|ahorse|ahorseback	on the back of a horse	
oewn-00002527-a	a	dul:Quality	A5_adj_head_default	adj.all head default	adaxial	adaxial|ventral	nearest to or facing toward the axis of an organ or organism	
oewn-00002669-r	r	dul:TimeInterval	R2_adv_temporal	temporal marker in gloss	barely	barely|hardly|just|scarcely|scarce	only a very short time before	
oewn-00002730-a	a	dul:Quality	A5_adj_head_default	adj.all head default	acroscopic	acroscopic	facing or on the side toward the apex	
oewn-00002843-a	a	dul:Quality	A5_adj_head_default	adj.all head default	basiscopic	basiscopic	facing or on the side toward the base	
oewn-00002935-r	r	dul:Region	R7_adv_default	adverb default (quality region)	barely	barely|just	by a little	
oewn-00002956-a	a	dul:Quality	A5_adj_head_default	adj.all head default	abducent	abducent|abducting	especially of muscles; drawing away from the midline of the body or from an adjacent part	
oewn-00003131-a	a	dul:Quality	A5_adj_head_default	adj.all head default	adducent	adducent|adductive|adducting	especially of muscles; bringing together or drawing toward the midline of the body or toward an adjacent part	
oewn-00003175-r	r	dul:Region	R7_adv_default	adverb default (quality region)	just	just	exactly at this moment or the moment described	
oewn-00003317-r	r	dul:Region	R7_adv_default	adverb default (quality region)	hardly	hardly|scarcely|barely|scarce	almost not	scarce
oewn-00003356-a	a	dul:Quality	A5_adj_head_default	adj.all head default	nascent	nascent	being born or beginning	
oewn-00003552-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00003356-a	emergent	emergent|emerging	coming into existence	
oewn-00003675-r	r	dul:Region	R1_adv_manner	manner adverb	anisotropically	anisotropically	in an anisotropic manner	anisotropic
oewn-00003699-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00003356-a	dissilient	dissilient	bursting open with force, as do some ripe seed vessels	
oewn-00003761-r	r	dul:Region	R1_adv_manner	manner adverb	annoyingly	annoyingly	in an annoying manner or to an annoying degree	annoying
oewn-00003828-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00003356-a	parturient	parturient	giving birth	
oewn-00003864-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	basically	basically|fundamentally|essentially	in essence; at bottom or by one's (or its) very nature	essential,fundamental
oewn-00003938-a	a	dul:Quality	A5_adj_head_default	adj.all head default	dying	dying	in or associated with the process of passing from life or ceasing to be	
oewn-00004152-r	r	dul:Region	R1_adv_manner	manner adverb	blessedly	blessedly	in a blessed manner	blessed
oewn-00004170-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00003938-a	moribund	moribund	being on the point of death; breathing your last	
oewn-00004227-r	r	dul:Region	R7_adv_default	adverb default (quality region)	boiling	boiling	passionately or agitatedly	
oewn-00004295-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00003938-a	last	last	occurring at the time of death	
oewn-00004306-r	r	dul:Region	R1_adv_manner	manner adverb	enviably	enviably	in an enviable manner	enviable
oewn-00004412-a	a	dul:Quality	A5_adj_head_default	adj.all head default	abridged	abridged	(used of texts) shortened by condensing or rewriting	
oewn-00004419-r	r	dul:Abstract	R6_adv_modal	modal/epistemic marker in gloss	pointedly	pointedly	in such a manner as to make something clearly evident	pointed
oewn-00004565-r	r	dul:Region	R1_adv_manner	manner adverb	negatively	negatively	in a negative way	negative
oewn-00004614-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00004412-a	cut	cut|shortened	with parts removed	
oewn-00004669-r	r	dul:Region	R1_adv_manner	manner adverb	negatively	negatively	in a harmful manner	negative
oewn-00004722-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00004412-a	half-length	half-length	abridged to half its original length	
oewn-00004775-r	r	dul:Region	R1_adv_manner	manner adverb	kindly	kindly	in a kind manner or out of kindness	kind
oewn-00004816-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00004412-a	potted	potted	(British informal) summarized or abridged	
oewn-00004948-r	r	dul:Region	R1_adv_manner	manner adverb	unkindly	unkindly	in an unkind manner or with unkindness	unkind
oewn-00004979-a	a	dul:Quality	A5_adj_head_default	adj.all head default	unabridged	unabridged	(used of texts) not shortened	
oewn-00005103-r	r	dul:Region	R7_adv_default	adverb default (quality region)	merely	merely|simply|just|only|but	and nothing more	bare,bare
oewn-00005106-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00004979-a	full-length	full-length|uncut	complete	
oewn-00005204-a	a	dul:Quality	A5_adj_head_default	adj.all head default	absolute	absolute	perfect or complete or pure	
oewn-00005348-r	r	dul:Region	R7_adv_default	adverb default (quality region)	simply	simply	absolutely; altogether; really	
oewn-00005436-r	r	dul:Region	R1_adv_manner	manner adverb	plainly	plainly|simply	in a simple manner; without extravagance or embellishment	
